keys,zh,en

default,......,......
ok,好,
no,不行,
thanks,谢谢,
goodbye,再见,
send,我来送你回家吧。,
fate,缘,
brave,勇气,


minicago_lose,看来旅途到此为止了，没关系，下次小心一定能到终点。,
minicago0,你好师傅，我是minicago。你能送我回家吗？,
minicago0_1,啊，这是你第一次开车。没关系，记住方向键控制移动，注意安全。,
minicago0_2,路上的怪物太多了，这是“闪现”道具，可以帮助你躲避怪物。\n（点击主菜单右上角装备道具，\n主动道具使用对应数字键可以使用。）,
minicago1,你好师傅，最近外面的车总是横冲直撞，记得注意安全。,
minicago1_1,太谢谢了，路上小心。,
minicago1_2,谢谢师傅，你的车技真不错。给你“冲刺”，可以脱离险境。,
minicago2,你好师傅，小心坦克。,
minicago2_1,太谢谢了，路上小心。,
minicago2_2,谢谢师傅，你的车技真不错。给你“手枪”，可以打击敌人。,
minicago3,你好师傅，小心油罐车。,
minicago3_1,太谢谢了，路上小心。,
minicago3_2,谢谢师傅，你的车技真不错。给你“辉耀”，可以灼烧敌人。,
minicago4,你好师傅，小心列车。,
minicago4_1,太谢谢了，路上小心。,
minicago4_2,谢谢师傅，你的车技真不错。你通关了。,

radiance,辉耀,
radiance_descript,灼烧你的敌人\n每秒造成{self_dic__damage__damage}伤害\n“怒！火！不！会！停！息！”,

blink,闪现,
blink_descript,闪现{self_dic__blink_dist}距离\n冷却{self_dic__cool_time}秒\n“逃脱注定的命运”,

rush,冲刺,
rush_descript,立刻获得{self_dic__rush_power}速度\n冷却{self_dic__cool_time}秒\n“冲刺”,

gun,手枪,
gun_descript,伤害{self_dic__damage__damage}，射速每{self_dic__cool_time}秒一发\n“哒哒哒”,

glassy,玻璃车,
glassy_descript,“从小到大，接我回家”,


